table,column,type,not_null,primary_key
kosis_tables,table_key,TEXT,False,True
kosis_tables,org_id,TEXT,True,False
kosis_tables,tbl_id,TEXT,True,False
kosis_tables,tbl_name,TEXT,True,False
kosis_tables,tbl_name_eng,TEXT,False,False
kosis_tables,stat_id,TEXT,False,False
kosis_tables,stat_name,TEXT,False,False
kosis_tables,view_code,TEXT,False,False
kosis_tables,category_path,TEXT,False,False
kosis_tables,recommended,INTEGER,True,False
kosis_tables,source_updated_at,TEXT,False,False
kosis_tables,retrieved_at,TEXT,True,False
kosis_dimensions,table_key,TEXT,True,True
kosis_dimensions,dimension_id,TEXT,True,True
kosis_dimensions,dimension_name,TEXT,True,False
kosis_dimensions,dimension_name_eng,TEXT,False,False
kosis_dimensions,dimension_order,INTEGER,False,False
kosis_dimensions,dimension_type,TEXT,True,False
kosis_dimensions,required,INTEGER,True,False
kosis_dimension_values,table_key,TEXT,True,True
kosis_dimension_values,dimension_id,TEXT,True,True
kosis_dimension_values,value_id,TEXT,True,True
kosis_dimension_values,value_name,TEXT,True,False
kosis_dimension_values,value_name_eng,TEXT,False,False
kosis_dimension_values,parent_value_id,TEXT,False,False
kosis_dimension_values,normalized_name,TEXT,False,False
kosis_dimension_values,aliases_json,TEXT,True,False
kosis_items,table_key,TEXT,True,True
kosis_items,item_id,TEXT,True,True
kosis_items,item_name,TEXT,True,False
kosis_items,item_name_eng,TEXT,False,False
kosis_items,unit_id,TEXT,False,False
kosis_items,unit_name,TEXT,False,False
kosis_items,metric_concept,TEXT,False,False
kosis_items,measure_type,TEXT,True,False
kosis_items,normalized_unit,TEXT,False,False
kosis_items,aliases_json,TEXT,True,False
kosis_items,claim_template,TEXT,False,False
kosis_periods,table_key,TEXT,True,True
kosis_periods,period_type,TEXT,True,True
kosis_periods,period_name,TEXT,True,False
kosis_periods,start_period,TEXT,False,False
kosis_periods,end_period,TEXT,False,False
kosis_periods,period_format,TEXT,False,False
kosis_periods,reference_type,TEXT,False,False
kosis_periods,publication_lag_days,INTEGER,False,False
claims,claim_id,TEXT,False,True
claims,article_id,TEXT,True,False
claims,claim_text,TEXT,True,False
claims,metric,TEXT,True,False
claims,claim_value,REAL,False,False
claims,claim_unit,TEXT,False,False
claims,normalized_value,REAL,False,False
claims,normalized_unit,TEXT,False,False
claims,time_expression,TEXT,False,False
claims,resolved_period,TEXT,False,False
claims,period_type,TEXT,False,False
claims,region,TEXT,False,False
claims,population,TEXT,False,False
claims,comparison_type,TEXT,True,False
claims,verifiability,TEXT,True,False
claims,extracted_at,TEXT,True,False
claims,extraction_json,TEXT,True,False
verification_results,verification_id,TEXT,False,True
verification_results,claim_id,TEXT,True,False
verification_results,table_key,TEXT,False,False
verification_results,item_id,TEXT,False,False
verification_results,official_value,REAL,False,False
verification_results,official_unit,TEXT,False,False
verification_results,official_period,TEXT,False,False
verification_results,dimensions_json,TEXT,True,False
verification_results,absolute_difference,REAL,False,False
verification_results,relative_difference,REAL,False,False
verification_results,verdict,TEXT,True,False
verification_results,reason_code,TEXT,False,False
verification_results,explanation,TEXT,False,False
verification_results,evidence_json,TEXT,True,False
verification_results,review_status,TEXT,True,False
verification_results,verified_at,TEXT,True,False
raw_api_responses,response_id,TEXT,False,True
raw_api_responses,endpoint,TEXT,True,False
raw_api_responses,request_params_json,TEXT,True,False
raw_api_responses,response_json,TEXT,True,False
raw_api_responses,retrieved_at,TEXT,True,False
